ID,Place (x),Knowledge (y),Action (z),K5Name
3324,-0.37,-0.219,-0.284,Small is Beautiful
3333,0.135,-0.163,-0.086,Small is Beautiful
3335,-0.119,-0.14,-0.042,Small is Beautiful
3338,0.032,0.217,-0.02,Small is Beautiful
3343,-0.107,-0.001,0.17,Small is Beautiful
3354,-0.148,0.176,-0.035,Small is Beautiful
3359,-0.216,0.021,0.113,Small is Beautiful
3363,0.015,0.523,-0.184,Small is Beautiful
3386,-0.271,0,-0.184,Small is Beautiful
3401,-0.046,0.159,-0.049,Small is Beautiful
3438,-0.279,-0.024,0.094,Small is Beautiful
3444,-0.142,0.371,-0.025,Small is Beautiful
3452,-0.044,-0.089,-0.178,Small is Beautiful
3453,0.039,-0.06,0.078,Small is Beautiful
3454,0.071,0.267,0.061,Small is Beautiful
3455,-0.06,-0.085,-0.192,Small is Beautiful
3456,-0.203,-0.299,-0.298,Small is Beautiful
3457,-0.295,0.174,-0.198,Small is Beautiful
3458,0.134,0.251,-0.045,Small is Beautiful
3461,-0.193,-0.187,-0.491,Small is Beautiful
3462,-0.035,-0.036,0.003,Small is Beautiful
3464,-0.058,0.164,-0.216,Small is Beautiful
3466,-0.275,0.348,-0.538,Small is Beautiful
3467,-0.326,0.13,-0.033,Small is Beautiful
3468,-0.152,-0.109,-0.304,Small is Beautiful
3470,-0.127,-0.25,-0.087,Small is Beautiful
3474,0.197,0.083,-0.073,Small is Beautiful
